time_period,ref_area,sto,activity,unit_measure,obs_value
1995,CY,P51G,OTQ,XDC,250.904
1995,CY,P51G,RTU,XDC,36.866
1995,CY,P51G,_T,XDC,1935.1
1995,CY,POP,_Z,PS,650.85
1995,CY,SAL,A,HW,13866.875
1995,CY,SAL,A,PS,6.923
1995,CY,SAL,BTE,HW,71100.861
1995,CY,SAL,BTE,PS,38.133
1995,CY,SAL,C,HW,64651.958
1995,CY,SAL,C,PS,34.432
1995,CY,SAL,F,HW,37232.321
1995,CY,SAL,F,PS,20.915
1995,CY,SAL,GTI,HW,127664.187
1995,CY,SAL,GTI,PS,70.073
1995,CY,SAL,J,HW,7524.516
1995,CY,SAL,J,PS,4.388
1995,CY,SAL,K,HW,19719.434
1995,CY,SAL,K,PS,12.09
1995,CY,SAL,L,HW,815.994
1995,CY,SAL,L,PS,0.493
1995,CY,SAL,M_N,HW,19037.954
1995,CY,SAL,M_N,PS,10.612
1995,CY,SAL,OTQ,HW,74610.686
1995,CY,SAL,OTQ,PS,48.085
1995,CY,SAL,RTU,HW,20818.929
1995,CY,SAL,RTU,PS,12.178
1995,CY,SAL,_T,HW,392391.757
1995,CY,SAL,_T,PS,223.89
1995,CY,SELF,A,HW,48671.996
1995,CY,SELF,A,PS,15.178
1995,CY,SELF,BTE,HW,19364.694
1995,CY,SELF,BTE,PS,9.148
1995,CY,SELF,C,HW,18755.029
1995,CY,SELF,C,PS,8.949
1995,CY,SELF,F,HW,15472.625
1995,CY,SELF,F,PS,7.427
1995,CY,SELF,GTI,HW,59000.577
1995,CY,SELF,GTI,PS,27.752
1995,CY,SELF,J,HW,2006.887
1995,CY,SELF,J,PS,0.698
1995,CY,SELF,K,HW,1352.399
1995,CY,SELF,K,PS,0.652
1995,CY,SELF,L,HW,864.211
1995,CY,SELF,L,PS,0.37
1995,CY,SELF,M_N,HW,7884.301
1995,CY,SELF,M_N,PS,3.286
1995,CY,SELF,OTQ,HW,6890.198
1995,CY,SELF,OTQ,PS,3.683
1995,CY,SELF,RTU,HW,8258.118
1995,CY,SELF,RTU,PS,3.856
1995,CY,SELF,_T,HW,169766.006
1995,CY,SELF,_T,PS,72.05
1995,CZ,B1G,A,XDC,64428
1995,CZ,B1G,BTE,XDC,453783
1995,CZ,B1G,C,XDC,344159
1995,CZ,B1G,F,XDC,111078
1995,CZ,B1G,GTI,XDC,301033
1995,CZ,B1G,J,XDC,44027
1995,CZ,B1G,K,XDC,49112
1995,CZ,B1G,L,XDC,84268
1995,CZ,B1G,M_N,XDC,96227
1995,CZ,B1G,OTQ,XDC,209206
1995,CZ,B1G,RTU,XDC,37183
1995,CZ,B1G,_T,XDC,1450345
1995,CZ,D1,A,XDC,28515
1995,CZ,D1,BTE,XDC,199888
1995,CZ,D1,C,XDC,166019
1995,CZ,D1,F,XDC,62860
1995,CZ,D1,GTI,XDC,119066
1995,CZ,D1,J,XDC,15948
1995,CZ,D1,K,XDC,19235
1995,CZ,D1,L,XDC,4480
1995,CZ,D1,M_N,XDC,38684
1995,CZ,D1,OTQ,XDC,129872
1995,CZ,D1,RTU,XDC,11532
1995,CZ,D1,_T,XDC,630080
1995,CZ,D21X31,_Z,XDC,145961
1995,CZ,EMP,A,HW,532374
1995,CZ,EMP,A,PS,270.463
1995,CZ,EMP,BTE,HW,2750084
1995,CZ,EMP,BTE,PS,1541.595
1995,CZ,EMP,C,HW,2440997
1995,CZ,EMP,C,PS,1358.133
1995,CZ,EMP,F,HW,1009252
1995,CZ,EMP,F,PS,523.629
1995,CZ,EMP,GTI,HW,2231072
1995,CZ,EMP,GTI,PS,1183.768
1995,CZ,EMP,J,HW,144358
1995,CZ,EMP,J,PS,78.404
1995,CZ,EMP,K,HW,122601
1995,CZ,EMP,K,PS,70.955
1995,CZ,EMP,L,HW,108459
1995,CZ,EMP,L,PS,54.856
1995,CZ,EMP,M_N,HW,616338
1995,CZ,EMP,M_N,PS,350.521
1995,CZ,EMP,OTQ,HW,1601091
1995,CZ,EMP,OTQ,PS,903.777
1995,CZ,EMP,RTU,HW,236059
1995,CZ,EMP,RTU,PS,127.575
1995,CZ,EMP,_T,HW,9351688
1995,CZ,EMP,_T,PS,5105.543
1995,CZ,P51G,A,XDC,22391
1995,CZ,P51G,BTE,XDC,218852
1995,CZ,P51G,C,XDC,128940
1995,CZ,P51G,F,XDC,16873
1995,CZ,P51G,GTI,XDC,80865
1995,CZ,P51G,J,XDC,19171
1995,CZ,P51G,K,XDC,29206
1995,CZ,P51G,L,XDC,55001
1995,CZ,P51G,M_N,XDC,32630
1995,CZ,P51G,OTQ,XDC,58177
1995,CZ,P51G,RTU,XDC,6254
1995,CZ,P51G,_T,XDC,539420
1995,CZ,POP,_Z,PS,10330.759
1995,CZ,SAL,A,HW,433126
1995,CZ,SAL,A,PS,234.445
1995,CZ,SAL,BTE,HW,2501386
1995,CZ,SAL,BTE,PS,1447.347
1995,CZ,SAL,C,HW,2195072
1995,CZ,SAL,C,PS,1265.256
1995,CZ,SAL,F,HW,765929
1995,CZ,SAL,F,PS,420.822
1995,CZ,SAL,GTI,HW,1721960
1995,CZ,SAL,GTI,PS,978.589
1995,CZ,SAL,J,HW,120151
1995,CZ,SAL,J,PS,68.801
1995,CZ,SAL,K,HW,105035
1995,CZ,SAL,K,PS,61.641
1995,CZ,SAL,L,HW,71192
1995,CZ,SAL,L,PS,41.639
1995,CZ,SAL,M_N,HW,467362
1995,CZ,SAL,M_N,PS,277.23
1995,CZ,SAL,OTQ,HW,1544212
1995,CZ,SAL,OTQ,PS,879.845
1995,CZ,SAL,RTU,HW,160468
1995,CZ,SAL,RTU,PS,93.391
1995,CZ,SAL,_T,HW,7890821
1995,CZ,SAL,_T,PS,4503.75
1995,CZ,SELF,A,HW,99248
1995,CZ,SELF,A,PS,36.018
1995,CZ,SELF,BTE,HW,248698
1995,CZ,SELF,BTE,PS,94.248
1995,CZ,SELF,C,HW,245925
1995,CZ,SELF,C,PS,92.877
1995,CZ,SELF,F,HW,243323
1995,CZ,SELF,F,PS,102.807
1995,CZ,SELF,GTI,HW,509112
1995,CZ,SELF,GTI,PS,205.179
1995,CZ,SELF,J,HW,24207
1995,CZ,SELF,J,PS,9.603
1995,CZ,SELF,K,HW,17566
1995,CZ,SELF,K,PS,9.314
1995,CZ,SELF,L,HW,37267
1995,CZ,SELF,L,PS,13.217
1995,CZ,SELF,M_N,HW,148976
1995,CZ,SELF,M_N,PS,73.291
1995,CZ,SELF,OTQ,HW,56879
1995,CZ,SELF,OTQ,PS,23.932
1995,CZ,SELF,RTU,HW,75591
1995,CZ,SELF,RTU,PS,34.184
1995,CZ,SELF,_T,HW,1460867
1995,CZ,SELF,_T,PS,601.793
1995,DE,B1G,A,XDC,18860
1995,DE,B1G,BTE,XDC,446061
1995,DE,B1G,C,XDC,389128
1995,DE,B1G,F,XDC,117928
1995,DE,B1G,GTI,XDC,270503
1995,DE,B1G,J,XDC,66340
1995,DE,B1G,K,XDC,78578
1995,DE,B1G,L,XDC,185243
1995,DE,B1G,M_N,XDC,167838
1995,DE,B1G,OTQ,XDC,293085
1995,DE,B1G,RTU,XDC,72085
1995,DE,B1G,_T,PC,1.8078792176626
1995,DE,B1G,_T,XDC,1716521
1995,DE,D1,A,XDC,6831
1995,DE,D1,BTE,XDC,300544
1995,DE,D1,C,XDC,270355
1995,DE,D1,F,XDC,88749
1995,DE,D1,GTI,XDC,188440
1995,DE,D1,J,XDC,34457
1995,DE,D1,K,XDC,52552
1995,DE,D1,L,XDC,8056
1995,DE,D1,M_N,XDC,54005
1995,DE,D1,OTQ,XDC,239139
1995,DE,D1,RTU,XDC,38612
1995,DE,D1,_T,XDC,1011385
1995,DE,D21X31,_Z,XDC,178089
1995,DE,EMP,A,HW,1885265.3
1995,DE,EMP,A,PS,865
1995,DE,EMP,BTE,HW,13473521.5
1995,DE,EMP,BTE,PS,8805
1995,DE,EMP,C,HW,12267352.3
1995,DE,EMP,C,PS,8037
1995,DE,EMP,F,HW,5488571.6
1995,DE,EMP,F,PS,3320
1995,DE,EMP,GTI,HW,13833960.2
1995,DE,EMP,GTI,PS,8840
1995,DE,EMP,J,HW,1433499.9
1995,DE,EMP,J,PS,949
1995,DE,EMP,K,HW,2027917.7
1995,DE,EMP,K,PS,1260
1995,DE,EMP,L,HW,528203.3
1995,DE,EMP,L,PS,348
1995,DE,EMP,M_N,HW,4152852.4
1995,DE,EMP,M_N,PS,2708
1995,DE,EMP,OTQ,HW,12384902.3
1995,DE,EMP,OTQ,PS,8543
1995,DE,EMP,RTU,HW,3017142.4
1995,DE,EMP,RTU,PS,2404
1995,DE,EMP,_T,HW,58225836.7
1995,DE,EMP,_T,PS,38042
1995,DE,P51G,A,XDC,6452
1995,DE,P51G,BTE,XDC,104863
1995,DE,P51G,C,XDC,71773
1995,DE,P51G,F,XDC,8114
1995,DE,P51G,GTI,XDC,43826
1995,DE,P51G,J,XDC,15304
1995,DE,P51G,K,XDC,10515
1995,DE,P51G,L,XDC,155375
1995,DE,P51G,M_N,XDC,34989
1995,DE,P51G,OTQ,XDC,57460
1995,DE,P51G,RTU,XDC,9075
1995,DE,P51G,_T,XDC,445973
1995,DE,POP,_Z,PS,81308
1995,DE,SAL,A,HW,538530.9
1995,DE,SAL,A,PS,339
1995,DE,SAL,BTE,HW,12740291.7
1995,DE,SAL,BTE,PS,8478
1995,DE,SAL,C,HW,11551678.7
1995,DE,SAL,C,PS,7718
1995,DE,SAL,F,HW,4699913.4
1995,DE,SAL,F,PS,2973
1995,DE,SAL,GTI,HW,10991900.6
1995,DE,SAL,GTI,PS,7658
1995,DE,SAL,J,HW,1298895.1
1995,DE,SAL,J,PS,887
1995,DE,SAL,K,HW,1754877.8
1995,DE,SAL,K,PS,1144
1995,DE,SAL,L,HW,404495.8
1995,DE,SAL,L,PS,292
