table_identifier,country,ref_area,NUTS,accounting_entry,sto,activity,unit_measure,time_period,type,obs_value
T1001,DK,DK,0,_Z,POP,_Z,PS,2013,V,5613
T1001,DK,DK,0,_Z,POP,_Z,PS,2014,T,5643.35
T1001,DK,DK,0,_Z,POP,_Z,PS,2014,V,5643
T1001,DK,DK,0,_Z,POP,_Z,PS,2015,T,5682.45
T1001,DK,DK,0,_Z,POP,_Z,PS,2015,V,5682
T1001,DK,DK,0,_Z,POP,_Z,PS,2016,T,5728.75
T1001,DK,DK,0,_Z,POP,_Z,PS,2016,V,5729
T1001,DK,DK,0,_Z,POP,_Z,PS,2017,T,5765.1
T1001,DK,DK,0,_Z,POP,_Z,PS,2017,V,5765
T1001,DK,DK,0,_Z,POP,_Z,PS,2018,T,5793.87
T1001,DK,DK,0,_Z,POP,_Z,PS,2018,V,5794
T1001,DK,DK,0,_Z,POP,_Z,PS,2019,T,5816.94
T1001,DK,DK,0,_Z,POP,_Z,PS,2019,V,5817
T1001,DK,DK,0,_Z,POP,_Z,PS,2020,T,5829.7
T1001,DK,DK,0,_Z,POP,_Z,PS,2020,V,
T1001,DK,DK,0,_Z,POP,_Z,PS,2021,T,5854.42
T1001,DK,DK,0,_Z,POP,_Z,PS,2021,V,
T1001,DK,DK0,1,_Z,B1G,_T,PC,2000,T,4.45
T1001,DK,DK0,1,_Z,B1G,_T,PC,2000,V,4.45
T1001,DK,DK0,1,_Z,B1G,_T,PC,2001,T,1.05
T1001,DK,DK0,1,_Z,B1G,_T,PC,2001,V,1.05
T1001,DK,DK0,1,_Z,B1G,_T,PC,2002,T,0.21
T1001,DK,DK0,1,_Z,B1G,_T,PC,2002,V,0.21
T1001,DK,DK0,1,_Z,B1G,_T,PC,2003,T,0.4
T1001,DK,DK0,1,_Z,B1G,_T,PC,2003,V,0.4
T1001,DK,DK0,1,_Z,B1G,_T,PC,2004,T,1.75
T1001,DK,DK0,1,_Z,B1G,_T,PC,2004,V,1.75
T1001,DK,DK0,1,_Z,B1G,_T,PC,2005,T,1.72
T1001,DK,DK0,1,_Z,B1G,_T,PC,2005,V,1.72
T1001,DK,DK0,1,_Z,B1G,_T,PC,2006,T,4.32
T1001,DK,DK0,1,_Z,B1G,_T,PC,2006,V,4.32
T1001,DK,DK0,1,_Z,B1G,_T,PC,2007,T,0.94
T1001,DK,DK0,1,_Z,B1G,_T,PC,2007,V,0.94
T1001,DK,DK0,1,_Z,B1G,_T,PC,2008,T,0.6
T1001,DK,DK0,1,_Z,B1G,_T,PC,2008,V,0.6
T1001,DK,DK0,1,_Z,B1G,_T,PC,2009,T,-4.24
T1001,DK,DK0,1,_Z,B1G,_T,PC,2009,V,-4.24
T1001,DK,DK0,1,_Z,B1G,_T,PC,2010,T,2.04
T1001,DK,DK0,1,_Z,B1G,_T,PC,2010,V,2.04
T1001,DK,DK0,1,_Z,B1G,_T,PC,2011,T,1.84
T1001,DK,DK0,1,_Z,B1G,_T,PC,2011,V,1.84
T1001,DK,DK0,1,_Z,B1G,_T,PC,2012,T,0.56
T1001,DK,DK0,1,_Z,B1G,_T,PC,2012,V,0.56
T1001,DK,DK0,1,_Z,B1G,_T,PC,2013,T,1.5
T1001,DK,DK0,1,_Z,B1G,_T,PC,2013,V,1.5
T1001,DK,DK0,1,_Z,B1G,_T,PC,2014,T,1.76
T1001,DK,DK0,1,_Z,B1G,_T,PC,2014,V,1.76
T1001,DK,DK0,1,_Z,B1G,_T,PC,2015,T,2.46
T1001,DK,DK0,1,_Z,B1G,_T,PC,2015,V,2.46
T1001,DK,DK0,1,_Z,B1G,_T,PC,2016,T,3.21
T1001,DK,DK0,1,_Z,B1G,_T,PC,2016,V,3.21
T1001,DK,DK0,1,_Z,B1G,_T,PC,2017,T,3.28
T1001,DK,DK0,1,_Z,B1G,_T,PC,2017,V,3.28
T1001,DK,DK0,1,_Z,B1G,_T,PC,2018,T,1.9
T1001,DK,DK0,1,_Z,B1G,_T,PC,2018,V,1.9
T1001,DK,DK0,1,_Z,B1G,_T,PC,2019,T,1.66
T1001,DK,DK0,1,_Z,B1G,_T,PC,2019,V,2.48
T1001,DK,DK0,1,_Z,B1G,_T,PC,2020,T,-2.27
T1001,DK,DK0,1,_Z,B1G,_T,PC,2020,V,-2.24
T1001,DK,DK0,1,_Z,B1G,_T,PC,2021,T,5.05
T1001,DK,DK0,1,_Z,B1G,_T,PC,2021,V,
T1001,DK,DK0,1,B,B1G,_T,XDC,2000,T,1107994.6
T1001,DK,DK0,1,B,B1G,_T,XDC,2000,V,1107995
T1001,DK,DK0,1,B,B1G,_T,XDC,2001,T,1150012.53
T1001,DK,DK0,1,B,B1G,_T,XDC,2001,V,1150013
T1001,DK,DK0,1,B,B1G,_T,XDC,2002,T,1180491.67
T1001,DK,DK0,1,B,B1G,_T,XDC,2002,V,1180492
T1001,DK,DK0,1,B,B1G,_T,XDC,2003,T,1204259.72
T1001,DK,DK0,1,B,B1G,_T,XDC,2003,V,1204260
T1001,DK,DK0,1,B,B1G,_T,XDC,2004,T,1252231.8
T1001,DK,DK0,1,B,B1G,_T,XDC,2004,V,1252232
T1001,DK,DK0,1,B,B1G,_T,XDC,2005,T,1294165.19
T1001,DK,DK0,1,B,B1G,_T,XDC,2005,V,1294165
T1001,DK,DK0,1,B,B1G,_T,XDC,2006,T,1368807.65
T1001,DK,DK0,1,B,B1G,_T,XDC,2006,V,1368808
T1001,DK,DK0,1,B,B1G,_T,XDC,2007,T,1415115.66
T1001,DK,DK0,1,B,B1G,_T,XDC,2007,V,1415116
T1001,DK,DK0,1,B,B1G,_T,XDC,2008,T,1479036.03
T1001,DK,DK0,1,B,B1G,_T,XDC,2008,V,1479036
T1001,DK,DK0,1,B,B1G,_T,XDC,2009,T,1441948.01
T1001,DK,DK0,1,B,B1G,_T,XDC,2009,V,1441948
T1001,DK,DK0,1,B,B1G,_T,XDC,2010,T,1513598.72
T1001,DK,DK0,1,B,B1G,_T,XDC,2010,V,1513599
T1001,DK,DK0,1,B,B1G,_T,XDC,2011,T,1536251.26
T1001,DK,DK0,1,B,B1G,_T,XDC,2011,V,1536251
T1001,DK,DK0,1,B,B1G,_T,XDC,2012,T,1578645.7
T1001,DK,DK0,1,B,B1G,_T,XDC,2012,V,1578646
T1001,DK,DK0,1,B,B1G,_T,XDC,2013,T,1620709.67
T1001,DK,DK0,1,B,B1G,_T,XDC,2013,V,1620710
T1001,DK,DK0,1,B,B1G,_T,XDC,2014,T,1678287.17
T1001,DK,DK0,1,B,B1G,_T,XDC,2014,V,1678287
T1001,DK,DK0,1,B,B1G,_T,XDC,2015,T,1741584.96
T1001,DK,DK0,1,B,B1G,_T,XDC,2015,V,1741585
T1001,DK,DK0,1,B,B1G,_T,XDC,2016,T,1806718.55
T1001,DK,DK0,1,B,B1G,_T,XDC,2016,V,1806719
T1001,DK,DK0,1,B,B1G,_T,XDC,2017,T,1884829.68
T1001,DK,DK0,1,B,B1G,_T,XDC,2017,V,1884830
T1001,DK,DK0,1,B,B1G,_T,XDC,2018,T,1929302.83
T1001,DK,DK0,1,B,B1G,_T,XDC,2018,V,1929303
T1001,DK,DK0,1,B,B1G,_T,XDC,2019,T,1991273.84
T1001,DK,DK0,1,B,B1G,_T,XDC,2019,V,1997522
T1001,DK,DK0,1,B,B1G,_T,XDC,2020,T,2006653.92
T1001,DK,DK0,1,B,B1G,_T,XDC,2020,V,2011620.82
T1001,DK,DK0,1,B,B1G,_T,XDC,2021,T,2159418.29
T1001,DK,DK0,1,B,B1G,_T,XDC,2021,V,
T1001,DK,DK0,1,_Z,EMP,_T,PS,2000,T,2748.76
T1001,DK,DK0,1,_Z,EMP,_T,PS,2000,V,2749
T1001,DK,DK0,1,_Z,EMP,_T,PS,2001,T,2773.83
T1001,DK,DK0,1,_Z,EMP,_T,PS,2001,V,2774
