country;sto;prices;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
DK;B1G;Y;1043754.685;1108805.967;1152739.066;1184807.786;1216241.731;1260260.952;1312221.189;1399362.474;1435805.216;1475818.809;1476719.474;1512253.223;1586909.789;1597221.304;1651124.2;1695275.78;1756342.045;1823241.658;1883483.021;1940155.684;1984077.091;1962363.611;2121063.922
DK;B1G;V;1059211.26;1143122.725;1181118.379;1211617.105;1235824.302;1291321.545;1347650.368;1428654.101;1475014.737;1545452.494;1484940.57;1562742.705;1593742.163;1636086.403;1669456.219;1718978.927;1767126.454;1829137.889;1906874.327;1955158.924;2011578.573;2018980.645;2175759.786
DK;B1GQ;Y;1220950.734;1288038.824;1337834.016;1377922.269;1415771.91;1475086.913;1541190.635;1648043.857;1697555.972;1729942.117;1713079.931;1754363.638;1835133.652;1851036.733;1912689.086;1960926.104;2027575.587;2102455.467;2167285.009;2236589.76;2286969.232;2264860.355;2436762.059
DK;B1GQ;V;1241520.747;1326911.504;1371526.218;1410271.027;1436751.24;1506000.798;1585984.17;1682260.207;1738845.296;1801469.912;1722142.505;1810925.601;1846853.613;1895002.254;1929677.034;1981164.991;2036356.221;2107808.218;2192960.002;2253316.249;2310954.835;2323919.331;2504177.717
DK;D21X31;Y;177196.049;179232.857;185094.95;193114.484;199530.179;214825.961;228969.447;248681.383;261750.756;254123.308;236360.457;242110.415;248223.863;253815.429;261564.886;265650.324;271233.542;279213.809;283801.988;296434.076;302892.141;302496.744;315698.137
DK;D21X31;V;182309.487;183788.779;190407.839;198653.922;200926.938;214679.254;238333.802;253606.106;263830.559;256017.418;237201.935;248182.896;253111.45;258915.851;260220.815;262186.064;269229.767;278670.329;286085.675;298157.325;299376.262;304938.686;328417.931
EE;B1G;Y;4547.75;5313.269;5824.1162;6637.6491;7497.6013;8296.3845;9491.3933;10987.1689;12781.3883;13985.2811;12569.6863;12733.1903;13854.2411;15031.219;15853.7898;17031.4544;17776.944;18409.9251;20005.5308;21524.2875;23294.8794;24136.2281;25869.1756
EE;B1G;V;4863.3862;5512.8549;6236.9246;6962.5736;7807.6399;8664.6798;10052.7175;11935.223;14412.142;14818.6786;12265.6847;12897.6328;14624.7307;15656.5158;16568.1151;17482.4717;17890.6878;18745.6912;20676.2151;22558.337;24120.1292;24115.6537;27566.2926
EE;B1GQ;Y;5078.7529;5952.3192;6542.1703;7460.1887;8417.1167;9339.3972;10708.9022;12451.0063;14597.3384;15559.618;14186.9973;14477.2761;15811.7615;17215.6312;18177.9843;19480.2568;20419.7236;21282.398;23007.558;24735.5271;26901.9625;27611.7405;29665.8794
EE;B1GQ;V;5406.8917;6171.6449;6987.0686;7822.58;8744.4261;9777.4594;11343.2699;13568.93;16401.3343;16618.0637;14131.8559;14741.1026;16677.2557;17916.6821;18910.7844;20048.226;20631.3617;21747.9098;23833.6144;25932.1756;27764.7247;27464.9825;31444.9126
EE;D21X31;Y;531.0029;639.0502;718.0542;822.5396;919.5155;1043.0127;1217.5089;1463.8374;1815.9501;1574.3369;1617.3111;1744.0857;1957.5204;2184.4122;2324.1945;2448.8024;2642.7795;2872.4728;3002.0272;3211.2396;3607.0831;3475.5124;3796.7037
EE;D21X31;V;543.5054;658.7899;750.1441;860.0063;936.7862;1112.7797;1290.5524;1633.7071;1989.1923;1799.385;1866.1713;1843.4698;2052.525;2260.1663;2342.6693;2565.7543;2740.6739;3002.2186;3157.3993;3373.8386;3644.5955;3349.3288;3878.62
